config,run,cleaned,steps_to_clean,n_green,n_yellow,n_red,n_waste,height,width
1 robot/color,0,True,495,1,1,1,2,15,15
1 robot/color,1,True,829,1,1,1,2,15,15
1 robot/color,2,True,651,1,1,1,2,15,15
1 robot/color,3,True,2983,1,1,1,2,15,15
1 robot/color,4,True,435,1,1,1,2,15,15
1 robot/color,5,True,1038,1,1,1,2,15,15
1 robot/color,6,True,1861,1,1,1,2,15,15
1 robot/color,7,True,2624,1,1,1,2,15,15
1 robot/color,8,True,244,1,1,1,2,15,15
1 robot/color,9,True,488,1,1,1,2,15,15
1 robot/color,10,True,843,1,1,1,2,15,15
1 robot/color,11,True,959,1,1,1,2,15,15
1 robot/color,12,True,838,1,1,1,2,15,15
1 robot/color,13,True,1239,1,1,1,2,15,15
1 robot/color,14,True,453,1,1,1,2,15,15
1 robot/color,15,True,836,1,1,1,2,15,15
1 robot/color,16,True,491,1,1,1,2,15,15
1 robot/color,17,True,551,1,1,1,2,15,15
1 robot/color,18,True,604,1,1,1,2,15,15
1 robot/color,19,True,3146,1,1,1,2,15,15
3 robots/color,0,True,241,3,3,3,2,15,15
3 robots/color,1,True,152,3,3,3,2,15,15
3 robots/color,2,True,123,3,3,3,2,15,15
3 robots/color,3,True,410,3,3,3,2,15,15
3 robots/color,4,True,156,3,3,3,2,15,15
3 robots/color,5,True,182,3,3,3,2,15,15
3 robots/color,6,True,309,3,3,3,2,15,15
3 robots/color,7,True,403,3,3,3,2,15,15
3 robots/color,8,True,104,3,3,3,2,15,15
3 robots/color,9,True,198,3,3,3,2,15,15
3 robots/color,10,True,680,3,3,3,2,15,15
3 robots/color,11,True,190,3,3,3,2,15,15
3 robots/color,12,True,457,3,3,3,2,15,15
3 robots/color,13,True,161,3,3,3,2,15,15
3 robots/color,14,True,450,3,3,3,2,15,15
3 robots/color,15,True,432,3,3,3,2,15,15
3 robots/color,16,True,505,3,3,3,2,15,15
3 robots/color,17,True,291,3,3,3,2,15,15
3 robots/color,18,True,194,3,3,3,2,15,15
3 robots/color,19,True,95,3,3,3,2,15,15
10 robots/color,0,True,58,10,10,10,2,15,15
10 robots/color,1,True,78,10,10,10,2,15,15
10 robots/color,2,True,228,10,10,10,2,15,15
10 robots/color,3,True,292,10,10,10,2,15,15
